,Date,Team,Score,Opponent,Opponent Score,Location,Spread,OU
0,2023-11-06,Purdue,84.99375,Samford,58.928432,0,26.06532,143.92218
3376,2023-11-06,San Diego St.,71.2975,Cal St. Fullerton,53.446644,0,17.850857,124.74414
357,2023-11-06,Florida,79.92581,Loyola MD,62.972332,0,16.95348,142.89815
2189,2023-11-06,VCU,77.00309,McNeese St.,67.69051,0,9.312576,144.6936
4609,2023-11-06,Xavier,81.90924,Robert Morris,65.3902,0,16.519043,147.29944
2205,2023-11-06,North Carolina,77.312706,Radford,59.32829,0,17.984417,136.64099
4581,2023-11-06,Ohio St.,84.3357,Oakland,62.955658,0,21.380043,147.29135
4495,2023-11-06,Providence,84.103645,Columbia,65.51373,0,18.589912,149.61737
2182,2023-11-06,Bowling Green,77.80774,Chicago St.,70.91444,0,6.893303,148.72217
628,2023-11-06,Oklahoma St.,75.47892,Abilene Christian,66.84665,0,8.632271,142.32556
2263,2023-11-06,Temple,75.996376,Maryland Eastern Shore,57.880527,0,18.115849,133.8769
3860,2023-11-06,Campbell,66.74386,Navy,64.27,0,2.4738617,131.01385
4441,2023-11-06,Rhode Island,72.917946,Central Connecticut,62.980022,0,9.937923,135.89796
2285,2023-11-06,Penn St.,80.76728,Delaware St.,64.372925,0,16.394356,145.1402
4419,2023-11-06,Boston College,72.98789,Fairfield,61.604095,0,11.383797,134.59198
3729,2023-11-06,Michigan St.,86.13635,James Madison,63.9245,0,22.211853,150.06085
4376,2023-11-06,Missouri,93.35371,Arkansas Pine Bluff,68.97501,0,24.378693,162.32872
2240,2023-11-06,Arkansas,83.31979,Alcorn St.,62.684742,0,20.635052,146.00453
2378,2023-11-06,Washington St.,81.24087,Idaho,57.89513,0,23.345737,139.136
3577,2023-11-06,Vermont,69.435265,Merrimack,53.892914,0,15.542351,123.32818
2131,2023-11-06,Seton Hall,73.52177,Saint Peter's,54.219833,0,19.301933,127.7416
282,2023-11-06,Texas A&M,80.38152,Texas A&M Commerce,57.36607,0,23.015453,137.74759
343,2023-11-06,Charleston,79.996635,Iona,72.340355,0,7.6562805,152.33699
1781,2023-11-06,Lehigh,76.23608,Cornell,81.7124,0,-5.476326,157.94849
1800,2023-11-06,Georgia,67.89468,Oregon,66.22443,1,1.6702499,134.11911
1810,2023-11-06,Notre Dame,67.69738,Niagara,58.98743,0,8.7099495,126.684814
3830,2023-11-06,Northeastern,67.28289,Boston University,62.279568,0,5.0033226,129.56245
3600,2023-11-06,Duke,84.67916,Dartmouth,59.460358,0,25.218803,144.13953
646,2023-11-06,Cal St. Bakersfield,72.239624,Southern Utah,64.11356,0,8.1260605,136.35318
4749,2023-11-06,Illinois,85.914955,Eastern Illinois,60.451015,0,25.46394,146.36597
1952,2023-11-06,UTSA,75.839264,Western Illinois,71.232,0,4.6072617,147.07126
4702,2023-11-06,Iowa St.,82.748085,Green Bay,50.247803,0,32.500282,132.99588
2010,2023-11-06,Houston,82.832886,Louisiana Monroe,53.624634,0,29.208252,136.45752
2018,2023-11-06,BYU,105.478905,Houston Christian,63.225372,0,42.253532,168.70428
4667,2023-11-06,Memphis,83.301674,Jackson St.,65.56393,0,17.737747,148.8656
2082,2023-11-06,Duquesne,75.620255,Cleveland St.,63.970623,0,11.6496315,139.59088
4658,2023-11-06,Kansas,85.99987,North Carolina Central,58.394535,0,27.605335,144.39441
4719,2023-11-06,Nebraska,84.94009,Lindenwood,64.18606,0,20.754028,149.12614
