,Date,Team,Score,Opponent,Opponent Score,Location,Spread,OU,Win Percent
0,2023-11-06,Purdue,82.66231671960396,Samford,61.9956814613003,0,20.666635258303664,144.65799818090426,0.0
0,2023-11-06,Saint Joseph's,78.86392965348246,Lafayette,61.7667861698668,0,17.09714348361566,140.63071582334925,0.0
0,2023-11-06,Charleston,78.43084505322852,Iona,70.7753464648682,0,7.655498588360317,149.20619151809672,0.003
0,2023-11-06,Butler,77.39370687531418,Eastern Michigan,62.021010646230266,0,15.372696229083914,139.41471752154445,0.0
0,2023-11-06,Tulane,83.77737831177548,Nicholls St.,65.17843131281812,0,18.59894699895736,148.9558096245936,0.0
0,2023-11-06,Syracuse,77.64867629792492,New Hampshire,63.45826642504694,0,14.190409872877979,141.10694272297187,0.0
0,2023-11-06,Duquesne,75.35327268894002,Cleveland St.,66.23845298715173,0,9.114819701788292,141.59172567609176,0.004
0,2023-11-06,VCU,77.01837788899039,McNeese St.,67.14256731491984,0,9.875810574070542,144.16094520391022,0.0
0,2023-11-06,Penn St.,79.39649993856695,Delaware St.,60.578195685409106,0,18.81830425315784,139.97469562397606,0.0
0,2023-11-06,Washington St.,81.6915606419495,Idaho,58.74535519982163,0,22.946205442127862,140.4369158417711,0.0
0,2023-11-06,Grand Canyon,80.28150126575046,Southeast Missouri St.,63.94076121412828,0,16.340740051622184,144.22226247987874,0.0
0,2023-11-06,Mississippi,80.30868984757149,Alabama St.,58.081332188678545,0,22.22735765889294,138.39002203625003,0.0
0,2023-11-06,Washington,77.52665621922101,Bellarmine,61.91938297832686,0,15.607273240894152,139.44603919754786,0.0
0,2023-11-06,UAB,74.02434076927345,Bradley,68.07546457351383,0,5.948876195759624,142.09980534278728,0.02
0,2023-11-06,Colorado St.,75.22468305780566,Louisiana Tech,67.51361195728872,0,7.711071100516946,142.73829501509437,0.006
0,2023-11-06,California,77.93812823975188,St. Thomas,67.46365355923842,0,10.474474680513453,145.4017817989903,0.0
0,2023-11-06,Belmont,75.72965145036916,Georgia St.,68.99290800299036,0,6.7367434473787995,144.7225594533595,0.016
