,Date,Home,Away,Home Score,Away Score,OT,Conf,Result,Nuetral
1,2022-11-07,Connecticut,Stonehill,85.0,54.0,,0,1,0
2,2022-11-07,Denver,Idaho,68.0,63.0,,0,1,0
3,2022-11-07,High Point,Pfeiffer,109.0,71.0,,0,1,0
4,2022-11-07,UAB,Alabama St.,111.0,70.0,,0,1,0
5,2022-11-07,Illinois Chicago,Trinity Christian,82.0,48.0,,0,1,0
6,2022-11-07,Charleston Southern,Toccoa Falls,83.0,52.0,,0,1,0
7,2022-11-07,Bucknell,Lebanon Valley,113.0,52.0,,0,1,0
8,2022-11-07,Saint Peter's,NJIT,73.0,59.0,,0,1,0
9,2022-11-07,Oklahoma St.,UT Arlington,77.0,66.0,,0,1,0
10,2022-11-07,Binghamton,Cazenovia,87.0,56.0,,0,1,0
11,2022-11-07,Eastern Michigan,Wayne State MI,75.0,66.0,,0,1,0
12,2022-11-07,North Carolina A&T,Edward Waters,100.0,61.0,,0,1,0
13,2022-11-07,Michigan,Purdue Fort Wayne,75.0,56.0,,0,1,0
14,2022-11-07,Cal St. Northridge,La Sierra,90.0,55.0,,0,1,0
15,2022-11-07,North Carolina,UNC Wilmington,69.0,56.0,,0,1,0
16,2022-11-07,McNeese St.,Champion Christian,110.0,54.0,,0,1,0
17,2022-11-07,Elon,Erskine,80.0,55.0,,0,1,0
18,2022-11-07,Oregon,Florida A&M,80.0,45.0,,0,1,0
19,2022-11-07,Presbyterian,Carolina,76.0,42.0,,0,1,0
20,2022-11-07,Iowa,Bethune Cookman,89.0,58.0,,0,1,0
21,2022-11-07,Coastal Carolina,St. Mary's MD,97.0,43.0,,0,1,0
22,2022-11-07,Cal St. Bakersfield,San Diego Christian,68.0,35.0,,0,1,0
23,2022-11-07,Cal Poly,Bethesda,94.0,59.0,,0,1,0
24,2022-11-07,Liberty,Regent,104.0,38.0,,0,1,0
25,2022-11-07,Arizona St.,Tarleton St.,62.0,59.0,,0,1,0
26,2022-11-07,Loyola Chicago,Fairleigh Dickinson,88.0,82.0,OT,0,1,0
27,2022-11-07,USC Upstate,Brevard,90.0,42.0,,0,1,0
28,2022-11-07,North Alabama,Oakwood,108.0,51.0,,0,1,0
29,2022-11-07,Southeastern Louisiana,Loyola LA,90.0,72.0,,0,1,0
30,2022-11-07,Mississippi St.,Texas A&M Corpus Chris,63.0,44.0,,0,1,0
